,Block,Creation Time,Txn,Fee Recipient,Gas Used,Gas Limit
106,21136596,-12.0,172,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13984520,30000000
107,21136595,-12.0,148,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12319899,30000000
108,21136594,-12.0,170,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12968760,30000000
109,21136593,-12.0,259,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18811460,30000000
110,21136592,-12.0,208,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,16452665,30000000
111,21136591,-12.0,158,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12062396,30000000
112,21136590,-12.0,156,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12158292,30000000
113,21136589,-12.0,204,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16350755,30000000
114,21136588,-12.0,241,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14604606,30000000
115,21136587,-12.0,205,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15183519,30000000
116,21136586,-12.0,257,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13824763,30000000
117,21136585,-12.0,167,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12637805,30000000
118,21136584,-12.0,181,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17549716,30000000
119,21136583,-12.0,200,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,12693577,30000000
120,21136582,-12.0,218,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,17567839,30000000
121,21136581,-12.0,121,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,10862042,30000000
122,21136580,-12.0,183,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,15852763,30000000
123,21136579,-12.0,155,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12360958,30000000
124,21136578,-12.0,322,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,29991692,30000000
125,21136577,-12.0,223,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,13817143,30000000
126,21136576,-12.0,182,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15405018,30000000
127,21136575,-12.0,137,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10073374,30000000
128,21136574,-12.0,151,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,11977108,30000000
129,21136573,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18170925,30000000
130,21136572,-12.0,171,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14011529,30000000
131,21136571,-12.0,169,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13237425,30000000
132,21136570,-12.0,162,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12071970,30000000
133,21136569,-12.0,188,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13454486,30000000
134,21136568,-12.0,148,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12589818,30000000
135,21136567,-12.0,206,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20661693,30000000
136,21136566,-12.0,163,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14215279,30000000
137,21136565,-12.0,252,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18457450,30000000
138,21136564,-12.0,157,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,13510189,30000000
139,21136563,-12.0,175,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14331342,30000000
140,21136562,-12.0,155,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,14208361,30000000
141,21136561,-12.0,182,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16013007,30000000
142,21136560,-12.0,181,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,15210384,30000000
143,21136559,-12.0,182,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,12587085,30000000
144,21136558,-12.0,235,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,17837703,30000000
145,21136557,-12.0,140,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,10199648,30000000
146,21136556,-12.0,183,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16770768,30000000
147,21136555,-12.0,167,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12580523,30000000
148,21136554,-12.0,163,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,13231572,30000000
149,21136553,-12.0,174,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14593311,30000000
150,21136552,-12.0,191,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16956590,30000000
151,21136551,-12.0,155,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11616572,30000000
152,21136550,-12.0,279,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,22497726,30000000
153,21136549,-12.0,145,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,11863529,30000000
154,21136548,-12.0,134,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,14257838,30000000
155,21136547,-12.0,221,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,20524165,30000000
156,21136546,-12.0,271,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,24426864,30000000
157,21136545,-12.0,239,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,18789884,30000000
158,21136544,-12.0,93,0x655fA8459044a0aAAb594CC05577497750c53Dc5,4819901,30000000
159,21136543,-12.0,207,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,16463898,30000000
160,21136542,-12.0,150,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,12572215,30000000
